Р-74;r2630687;Чэрыкаў — Краснаполле — Хоцімск;Чериков — Краснополье — Хотимск;'name:ru' не супадае з назвай у Законе
Р-75;r2786086;Клімавічы (ад а/д Р43) — Касцюковічы — мяжа РФ (Смольки);Климовичи (от а/д Р43) — Костюковичи — граница РФ (Смольки);'name:ru' не супадае з назвай у Законе
Р-76;r2792024;Ворша — Шклоў — Магілёў;Орша — Шклов — Могилёв;'name:ru' не супадае з назвай у Законе
Р-77;r2790182;Шклоў — Бялынічы (праз Прыгані);Шклов — Белыничи (ч/з Пригани);'name:ru' не супадае з назвай у Законе
Р-78;r2781631;Алекшыцы — Ваўкавыск — Поразава — Пружаны;Олекшицы — Волковыск — Порозово — Пружаны;'name:ru' не супадае з назвай у Законе
Р-79;r2790174;Клічаў — Чачэвічы;Кличев — Чечевичи;'name:ru' не супадае з назвай у Законе
Р-80;r2798205;Слабада — Паперня;Слобода — Паперня;'name:ru' не супадае з назвай у Законе
Р-81;r544003;Пружаны — мяжа Рэспублікі Польшча;Пружаны — граница Республики Польша;'name:ru' не супадае з назвай у Законе
Р-83;r161361;Брэст — Камянец — Нацыянальны парк «Белавежская пушча»;Брест — Каменец — Национальный парк «Беловежская пуща»;'name:ru' не супадае з назвай у Законе
Р-84;r2786079;Бяроза — Драгічын;Берёза — Дрогичин;'name:ru' не супадае з назвай у Законе
Р-85;r543988;Слонім — Высокае;Слоним — Высокое;'name:ru' не супадае з назвай у Законе
Р-86;r1282164;Багушэўск (ад М8) — Сянно — Лепель — Мядзел;Богушевск (от М8) — Сенно — Лепель — Мядель;'name:ru' не супадае з назвай у Законе
Р-87;r1245001;Віцебск — Орша;Витебск — Орша;'name:ru' не супадае з назвай у Законе
Р-88;r2789715;Жыткавічы — Давыд-Гарадок — мяжа Украіны (Верхні Церабяжоў);Житковичи — Давид Городок — граница Украины (Верхний Теребежов);'name:ru' не супадае з назвай у Законе
Р-89;r2728146;Ліда — Тракелі — Геранёны — мяжа Літвы (Геранёны);Лида — Трокели — Геранены — граница Литвы (Геранены);'name:ru' не супадае з назвай у Законе
Р-90;r2789721;Парычы — Красны Бераг (да а/д М-5);Паричи — Красный Берег (до а/д М-5);'name:ru' не супадае з назвай у Законе
