Н-240;Велятичи – Малые Диковичи;9/101102
Н-241;Кошевичи (от автомобильной дороги М-10 Граница Российской Федерации (Селище) – Гомель – Кобрин) – Тулятин;9/101102
Н-242;Кончицы – Перехрестье;9/101102
Н-243;Хойно – Стайки;9/101102
Н-244;Стытычево – Сачковичи – Красово – Местковичи;9/101102
Н-245;Дубое – Беркозы;9/101102
Н-246;Заполье – Галево;9/101102
Н-247;Ковнятин – Мокрая Дуброва;9/101102
Н-248;Логишин – Шпановки;9/101102
Н-249;Масевичи – Лисятичи – Бастычи;9/101102
Н-250;Молотковичи – Залесье;9/101102
Н-251;Сошно – Староселье;9/101102
Н-252;Ставок – Красиево;9/101102
Н-253;Ставок – Новоселье;9/101102
Н-254;Ставок – Рудавин;9/101102
Н-255;Ладорож (от автомобильной дороги Н-224 Федоры – Ласицк – Паре) – граница Украины;9/101102
Н-256;Твердовка – Ольшанка;9/101102
Н-257;Большой Холожин – Малый Холожин;9/101102
Н-258;Поречье – Вилы;9/101102
Н-259;Тулятин – Бастычи;9/101102
Н-260;Синин – Лисятичи – Мерчицы;9/101102
Н-261;Большие Дворцы – Лосичи;9/101102
Н-262;Горново – Сернички;9/101102
Н-263;Берёзовичи – Выжловичи;9/101102
Н-264;Бижеревичи – Вуйвичи;9/101102
Н-265;Молотковичи – река Пина;9/101102
Н-266;Перехрестье – Невель;9/101102
Н-267;Пинск – Пинковичи;9/101102
Н-268;Пинковичи – Высокое – Купятичи;9/101102
Н-269;Каллауровичи – Особовичи;9/101102
Н-270;Дубновичи – Парохонск;9/101102
Н-272;Молчадь – Скородинцы – граница Гродненской области;9/101102
Н-273;Новая Мышь – Полонка – граница Гродненской области;9/101102
Н-274;Барановичи – Утёс (до автомобильной дороги Р-43 Граница Российской Федерации (Звенчатка) – Кричев – Бобруйск – Ивацевичи (до автомобильной дороги Р-2/Е 85);9/101102
Н-275;Берёзовка – Лесная – Миловиды;9/101102
Н-276;Городище – Омневичи – железнодорожная станция Мордичи;9/101102
Н-277;Столовичи – Вольно – граница Гродненской области;9/101102
Н-278;Полонка – Лотвичи – Скородинцы;9/101102
Н-279;Молчадь – Почапово – гравийно-сортировочный завод «Омневичи»;9/101102
Н-280;Городище – Мицкевичи;9/101102
Н-281;Городище – Карчёво – граница Гродненской области;9/101102
Н-282;Тешевле – Люшнево – Перховичи;9/101102
Н-283;Железница – Постаринье – Столовичи;9/101102
Н-284;Крошин (от автомобильной дороги Р-2/Е 85 Столбцы – Ивацевичи – Кобрин) – Залюбичи;9/101102
Н-285;Петковичи (от автомобильной дороги Р-2/Е 85 Столбцы – Ивацевичи – Кобрин) – Ишколдь – Репичи – Полонечка;9/101102
Н-286;Стайки (от автомобильной дороги Р-2/Е 85 Столбцы – Ивацевичи – Кобрин) – Меденевичи – Колдычево;9/101102
Н-287;Мир (от автомобильной дороги Р-108 Барановичи – Молчадь – Дятлово) – Домашевичи;9/101102
Н-288;Микуличи – граница Гродненской области;9/101102
Н-289;Советский – Скробово – Переволока;9/101102
Н-290;Почапово – Емельяновичи (до автомобильной дороги Н-340 Застаринье – Гайбуты);9/101102
Н-291;Барановичи – Русино – Великие Луки;9/101102
Н-292;Митропольщина – Полонечка;9/101102
Н-293;Ежона (от автомобильной дороги Р-99 Барановичи – Волковыск – Пограничный – Гродно) – Добрый Бор;9/101102
Н-294;Подгорная – Колбовичи;9/101102
Н-295;Савичи – Задвея;9/101102
Н-296;Зелёная – Ясенец (до автомобильной дороги Н-281 Городище – Карчёво – граница Гродненской области);9/101102
Н-297;Арабовщина – Станкевичи;9/101102
Н-298;Арабовщина – Большие Гатище;9/101102
Н-299;Молчадь – Савцевичи;9/101102
Н-300;Стремиловщина – Данейки;9/101102
Н-301;Гирмантовцы – Нагорная – Городище;9/101102
Н-302;Стремиловщина – Андреевцы;9/101102
Н-303;Почапово – Большие Пурневичи – Зазерье;9/101102
Н-304;Постаринье – Дрогобыль;9/101102
Н-305;Мир – Петревичи – Новая Мышь;9/101102
Н-306;Полонка – Детковичи;9/101102
Н-307;Большие Пурневичи – Малые Пурневичи;9/101102
Н-308;Свираны – Зверовщина – Люшнево;9/101102
Н-309;Богуши – Рагозница;9/101102
Н-310;Лотвичи – Вершок;9/101102
Н-311;Лотвичи – Ёлово;9/101102
Н-312;Севрюки (от автомобильной дороги Н-273 Новая Мышь – Полонка – граница Гродненской области) – Сосновая;9/101102
Н-313;Барановичи – Глинище;9/101102
Н-314;Карчёво – Гречихи;9/101102
Н-315;Скробово – Пенчин;9/101102
Н-316;Нагорная – Слабожаны;9/101102
Н-317;Нагорная – Лозы;9/101102
Н-318;Лесная – Гута – Утёс;9/101102
Н-319;Лотвичи – Ягодная – Перховичи;9/101102
Н-320;Вольно – Рабковичи;9/101102
Н-321;Голынка – Тишковцы;9/101102
Н-322;Свираны – Бор;9/101102
Н-323;Полонка – Альбинки – Тиунцы;9/101102
Н-324;Лавриновичи – Забродье;9/101102
Н-325;Гута – Свояшки – Груды;9/101102
Н-326;Заполье – Тюкантовичи;9/101102
Н-327;Мелеховичи – Старые Войковичи;9/101102
Н-328;Зелёная – Душковцы;9/101102
Н-329;Молчадь – Сорговичи;9/101102
Н-330;Меденевичи – Михновщина;9/101102
Н-331;Тепливоды – Дубище;9/101102
Н-332;Малая Своротва – Андреевцы;9/101102
Н-333;Тартаки (от автомобильной дороги Р-99 Барановичи – Волковыск – Пограничный – Гродно) – озеро Гать;9/101102
Н-334;Меденевичи – Вызорок;9/101102
Н-335;Голынка – Крутовцы – Буйневичи (до автомобильной дороги Н-276 Городище – Омневичи – железнодорожная станция Мордичи);9/101102
Н-336;Лебежаны – Заболотье – Белолесье;9/101102
