4;r7975902;Талачынскі сельскі Савет;
3;r70669;Ушацкі раён;
4;r1180578;Ушачы;
4;r7976438;Вялікадолецкі сельскі Савет;
4;r7976437;Вяркудскі сельскі Савет;
4;r7976436;Глыбачанскі сельскі Савет;
4;r7976435;Жарскі сельскі Савет;
4;r7976434;Кубліцкі сельскі Савет;
4;r7976433;Сарочынскі сельскі Савет;
4;r7976432;Ушацкі сельскі Савет;
3;r70746;Чашніцкі раён;
4;r1180571;Чашнікі;
4;r1180572;Новалукомль;
4;r4850384;Іванскі сельскі Савет;
4;r4850385;Красналуцкі сельскі Савет;
4;r4850386;Кругліцкі сельскі Савет;
4;r4680037;Лукомльскі сельскі Савет;
4;r4850387;Новазаранскі сельскі Савет;
4;r4850388;Альшанскі сельскі Савет;
4;r4850389;Празямлянскі сельскі Савет;
3;r70701;Шаркаўшчынскі раён;
4;r1180582;Шаркаўшчына;
4;r8083048;Більдзюгскі сельскі Савет;
4;r8083047;Германавіцкі сельскі Савет;
4;r8083046;Ёдскі сельскі Савет;
4;r8083045;Лужкоўскі сельскі Савет;
4;r8083044;Радзюкоўскі сельскі Савет;
4;r8083043;Станіславоўскі сельскі Савет;
3;r70677;Шумілінскі раён;
4;r6722349;Шуміліна;
4;r7981151;Дабейскі сельскі Савет;
4;r7981152;Каўлякоўскі сельскі Савет;
4;r7981153;Лаўжанскі сельскі Савет;
4;r7981154;Мішневіцкі сельскі Савет;
4;r7981155;Мікалаеўскі сельскі Савет;
4;r7981156;Обальскі сельскі Савет;
4;r7981157;Светласельскі сельскі Савет;
4;r7981158;Сіроцінскі сельскі Савет;
2;r59161;Гомельская вобласць;
3;r163244;Гомель;
3;r70801;Брагінскі раён;
4;r5598415;Брагін;
4;r8031211;Буркоўскі сельскі Савет;
4;r8031210;Камарынскі сельскі Савет;
4;r8031209;Малейкаўскі сельскі Савет;
4;r8031208;Малажынскі сельскі Савет;
4;r8031207;Новаялчанскі сельскі Савет;
4;r8031206;Вуглоўскі сельскі Савет;
4;r8031205;Чамярыскі сельскі Савет;
3;r59175;Буда-Кашалёўскі раён;
